source,campaign,influencer_id,user_id,product,date,orders,revenue,group
Twitter,Campaign_2,25,1575,MB Protein,2025-06-26 22:26:15.444814,3,448.03,1
YouTube,Campaign_5,13,2108,Gritzo Shake,2025-05-04 22:26:15.444814,2,30.61,0
Twitter,Campaign_5,49,5739,Gritzo Shake,2025-05-29 22:26:15.444814,4,36.49,0
Twitter,Campaign_2,35,7435,MB Protein,2025-06-22 22:26:15.444814,1,378.98,1
YouTube,Campaign_3,31,1133,HK Multivitamin,2025-05-24 22:26:15.445814,1,464.46,1
YouTube,Campaign_3,23,3110,Gritzo Shake,2025-06-19 22:26:15.445814,1,323.68,1
Twitter,Campaign_3,18,6037,MB Protein,2025-06-05 22:26:15.445814,2,32.17,0
Twitter,Campaign_1,32,5768,Gritzo Shake,2025-06-28 22:26:15.445814,3,35.67,0
Twitter,Campaign_3,26,2540,Gritzo Shake,2025-07-12 22:26:15.445814,1,350.71,1
Twitter,Campaign_3,49,3126,Gritzo Shake,2025-05-14 22:26:15.445814,3,487.54,1
YouTube,Campaign_2,46,9568,Gritzo Shake,2025-04-25 22:26:15.445814,5,30.1,0
Instagram,Campaign_2,38,788,Gritzo Shake,2025-07-08 22:26:15.445814,2,402.99,1
YouTube,Campaign_3,13,3116,Gritzo Shake,2025-05-25 22:26:15.445814,1,329.18,1
YouTube,Campaign_2,47,1290,Gritzo Shake,2025-05-27 22:26:15.445814,2,24.76,0
Twitter,Campaign_2,36,8171,MB Protein,2025-07-02 22:26:15.445814,4,24.99,0
Instagram,Campaign_1,21,1777,HK Multivitamin,2025-07-05 22:26:15.446817,1,24.17,0
YouTube,Campaign_1,22,2522,HK Multivitamin,2025-05-13 22:26:15.446817,2,30.22,0
Instagram,Campaign_1,14,828,Gritzo Shake,2025-07-11 22:26:15.446817,3,24.18,0
Instagram,Campaign_5,29,1047,Gritzo Shake,2025-05-26 22:26:15.446817,5,300.51,1
Twitter,Campaign_4,32,6035,Gritzo Shake,2025-05-24 22:26:15.446817,1,344.64,1
Instagram,Campaign_2,48,7792,HK Multivitamin,2025-04-30 22:26:15.446817,2,423.63,1
Instagram,Campaign_5,12,8490,HK Multivitamin,2025-06-10 22:26:15.446817,1,24.98,0
YouTube,Campaign_5,41,4924,Gritzo Shake,2025-05-05 22:26:15.446817,5,409.29,1
YouTube,Campaign_2,10,772,Gritzo Shake,2025-07-13 22:26:15.446817,2,36.73,0
YouTube,Campaign_1,15,3313,HK Multivitamin,2025-07-13 22:26:15.446817,5,328.64,1
YouTube,Campaign_1,44,8180,Gritzo Shake,2025-06-24 22:26:15.446817,1,443.03,1
YouTube,Campaign_1,30,8618,Gritzo Shake,2025-07-13 22:26:15.447816,2,327.92,1
Twitter,Campaign_1,3,6326,HK Multivitamin,2025-05-11 22:26:15.447816,5,30.53,0
Twitter,Campaign_5,24,5587,HK Multivitamin,2025-05-30 22:26:15.447816,5,24.19,0
Instagram,Campaign_3,19,9646,HK Multivitamin,2025-07-20 22:26:15.447816,3,362.99,1
YouTube,Campaign_1,46,4461,MB Protein,2025-06-08 22:26:15.447816,4,34.35,0
YouTube,Campaign_5,31,2316,MB Protein,2025-04-26 22:26:15.447816,2,22.63,0
Twitter,Campaign_2,1,8540,Gritzo Shake,2025-07-15 22:26:15.447816,2,22.83,0
Twitter,Campaign_1,4,5532,MB Protein,2025-05-20 22:26:15.447816,2,21.67,0
Instagram,Campaign_1,29,646,Gritzo Shake,2025-06-08 22:26:15.447816,4,36.27,0
YouTube,Campaign_2,30,976,Gritzo Shake,2025-07-06 22:26:15.447816,4,362.39,1
YouTube,Campaign_3,27,111,HK Multivitamin,2025-06-05 22:26:15.447816,4,440.97,1
YouTube,Campaign_3,44,4404,HK Multivitamin,2025-05-10 22:26:15.448815,3,25.67,0
YouTube,Campaign_1,15,3379,MB Protein,2025-07-12 22:26:15.448815,3,301.9,1
Instagram,Campaign_2,6,1385,Gritzo Shake,2025-06-03 22:26:15.448815,2,29.64,0
Twitter,Campaign_1,49,8307,MB Protein,2025-07-06 22:26:15.448815,2,496.75,1
Twitter,Campaign_3,3,9656,HK Multivitamin,2025-05-11 22:26:15.448815,3,24.05,0
Twitter,Campaign_1,4,4493,HK Multivitamin,2025-07-06 22:26:15.448815,4,387.09,1
Instagram,Campaign_3,14,75,MB Protein,2025-06-04 22:26:15.448815,2,497.23,1
YouTube,Campaign_5,50,7967,HK Multivitamin,2025-07-17 22:26:15.448815,2,37.79,0
Instagram,Campaign_3,19,3878,Gritzo Shake,2025-07-02 22:26:15.448815,3,382.45,1
Twitter,Campaign_4,25,377,Gritzo Shake,2025-06-14 22:26:15.448815,3,382.46,1
Instagram,Campaign_2,42,2821,MB Protein,2025-05-05 22:26:15.448815,3,466.24,1
Instagram,Campaign_2,21,8140,HK Multivitamin,2025-04-27 22:26:15.449818,5,35.25,0
YouTube,Campaign_1,46,4048,Gritzo Shake,2025-07-16 22:26:15.449818,3,348.23,1
Instagram,Campaign_2,29,8950,HK Multivitamin,2025-05-12 22:26:15.449818,5,461.86,1
YouTube,Campaign_1,33,5591,MB Protein,2025-07-19 22:26:15.449818,1,466.38,1
Twitter,Campaign_3,3,558,MB Protein,2025-06-14 22:26:15.449818,1,36.16,0
YouTube,Campaign_4,5,3555,HK Multivitamin,2025-07-18 22:26:15.449818,5,34.63,0
YouTube,Campaign_5,30,7237,Gritzo Shake,2025-06-13 22:26:15.449818,4,29.93,0
Instagram,Campaign_5,38,84,HK Multivitamin,2025-06-19 22:26:15.449818,5,37.94,0
YouTube,Campaign_3,22,8523,HK Multivitamin,2025-05-13 22:26:15.449818,1,332.66,1
Twitter,Campaign_4,18,4034,MB Protein,2025-06-06 22:26:15.449818,3,497.16,1
YouTube,Campaign_4,44,9292,MB Protein,2025-05-03 22:26:15.449818,2,30.7,0
Twitter,Campaign_1,35,9142,Gritzo Shake,2025-06-22 22:26:15.449818,5,376.57,1
YouTube,Campaign_2,45,1248,Gritzo Shake,2025-06-03 22:26:15.450814,4,32.52,0
YouTube,Campaign_2,27,5664,HK Multivitamin,2025-05-17 22:26:15.450814,3,24.31,0
YouTube,Campaign_4,10,254,HK Multivitamin,2025-06-28 22:26:15.450814,2,374.05,1
Instagram,Campaign_5,6,8695,HK Multivitamin,2025-06-30 22:26:15.450814,2,349.49,1
Instagram,Campaign_5,12,6728,Gritzo Shake,2025-05-31 22:26:15.450814,1,24.5,0
YouTube,Campaign_1,23,870,MB Protein,2025-07-02 22:26:15.450814,2,33.01,0
Twitter,Campaign_1,16,5307,Gritzo Shake,2025-07-03 22:26:15.450814,1,38.75,0
YouTube,Campaign_5,20,7853,Gritzo Shake,2025-06-26 22:26:15.450814,5,447.85,1
Twitter,Campaign_4,9,8872,Gritzo Shake,2025-06-05 22:26:15.450814,5,469.39,1
YouTube,Campaign_3,30,3224,HK Multivitamin,2025-04-23 22:26:15.450814,1,39.59,0
Instagram,Campaign_4,29,2002,MB Protein,2025-06-19 22:26:15.450814,2,37.9,0
Instagram,Campaign_1,12,5162,MB Protein,2025-07-05 22:26:15.451812,3,29.05,0
Instagram,Campaign_1,2,7351,MB Protein,2025-05-25 22:26:15.451812,4,39.58,0
YouTube,Campaign_1,30,9270,MB Protein,2025-05-13 22:26:15.451812,5,311.08,1
Instagram,Campaign_2,29,7627,HK Multivitamin,2025-07-02 22:26:15.451812,1,34.26,0
YouTube,Campaign_1,13,3844,Gritzo Shake,2025-05-31 22:26:15.451812,5,360.93,1
Twitter,Campaign_4,16,6714,HK Multivitamin,2025-05-04 22:26:15.451812,4,410.49,1
YouTube,Campaign_5,44,9146,Gritzo Shake,2025-07-05 22:26:15.451812,3,465.33,1
YouTube,Campaign_2,20,4800,MB Protein,2025-07-01 22:26:15.452816,2,38.85,0
YouTube,Campaign_4,7,9901,MB Protein,2025-06-24 22:26:15.452816,4,498.45,1
Instagram,Campaign_3,19,3244,HK Multivitamin,2025-06-07 22:26:15.452816,4,344.23,1
YouTube,Campaign_2,27,7186,Gritzo Shake,2025-06-21 22:26:15.452816,5,34.93,0
YouTube,Campaign_4,10,438,HK Multivitamin,2025-07-07 22:26:15.452816,3,401.48,1
Twitter,Campaign_2,16,3146,Gritzo Shake,2025-07-08 22:26:15.452816,4,397.0,1
YouTube,Campaign_4,11,2229,HK Multivitamin,2025-05-31 22:26:15.452816,3,338.87,1
Twitter,Campaign_3,25,7228,Gritzo Shake,2025-07-09 22:26:15.452816,3,39.98,0
Twitter,Campaign_1,25,4455,HK Multivitamin,2025-07-02 22:26:15.452816,1,29.67,0
Twitter,Campaign_2,25,487,Gritzo Shake,2025-05-28 22:26:15.452816,4,23.34,0
YouTube,Campaign_5,44,4134,HK Multivitamin,2025-06-03 22:26:15.452816,3,363.43,1
Instagram,Campaign_4,42,6119,HK Multivitamin,2025-06-24 22:26:15.452816,2,20.83,0
YouTube,Campaign_1,27,7594,MB Protein,2025-05-20 22:26:15.453811,2,392.45,1
Twitter,Campaign_5,17,2231,MB Protein,2025-05-14 22:26:15.453811,4,28.24,0
YouTube,Campaign_5,50,4693,MB Protein,2025-07-16 22:26:15.453811,3,310.39,1
Twitter,Campaign_3,4,4500,MB Protein,2025-06-27 22:26:15.453811,2,25.61,0
YouTube,Campaign_3,43,8398,HK Multivitamin,2025-05-11 22:26:15.453811,4,322.75,1
Twitter,Campaign_2,35,2220,HK Multivitamin,2025-05-02 22:26:15.453811,1,25.12,0
Twitter,Campaign_1,4,5733,HK Multivitamin,2025-07-06 22:26:15.453811,3,377.07,1
Twitter,Campaign_5,28,6459,Gritzo Shake,2025-07-05 22:26:15.453811,1,498.69,1
Instagram,Campaign_2,21,2478,Gritzo Shake,2025-06-20 22:26:15.453811,5,32.34,0
YouTube,Campaign_2,23,1660,Gritzo Shake,2025-05-21 22:26:15.453811,5,384.91,1
YouTube,Campaign_4,45,7170,MB Protein,2025-06-03 22:26:15.453811,3,469.42,1
YouTube,Campaign_4,8,2139,HK Multivitamin,2025-05-13 22:26:15.454833,2,499.67,1
Twitter,Campaign_1,25,6772,Gritzo Shake,2025-07-14 22:26:15.454833,1,30.51,0
Twitter,Campaign_1,34,2308,Gritzo Shake,2025-06-09 22:26:15.454833,3,39.95,0
